Index,SKU Code,Design No.,Stock,Gender,Category,Size,Color
7500,SET072-KR-SHA-M,SET072,0,Female,KURTA SET,M,Brown
7501,SET072-KR-SHA-S,SET072,0,Female,KURTA SET,S,Brown
7502,SET072-KR-SHA-XL,SET072,0,Female,KURTA SET,XL,Brown
7503,SET072-KR-SHA-XS,SET072,0,Female,KURTA SET,XS,Brown
7504,SET072-KR-SHA-XXL,SET072,0,Female,KURTA SET,XXL,Brown
7505,SET072-KR-SHA-XXXL,SET072,0,Female,KURTA SET,XXXL,Brown
7506,SET073-KR-SHA-L,SET073,113,Female,KURTA SET,L,Dark Green
7507,SET073-KR-SHA-M,SET073,250,Female,KURTA SET,M,Dark Green
7508,SET073-KR-SHA-S,SET073,249,Female,KURTA SET,S,Dark Green
7509,SET073-KR-SHA-XL,SET073,216,Female,KURTA SET,XL,Dark Green
7510,SET073-KR-SHA-XS,SET073,289,Female,KURTA SET,XS,Dark Green
7511,SET073-KR-SHA-XXL,SET073,23,Female,KURTA SET,XXL,Dark Green
7512,SET073-KR-SHA-XXXL,SET073,136,Female,KURTA SET,XXXL,Dark Green
7513,SET075-KR-DH-L,SET075,0,Female,KURTA SET,L,Pink
7514,SET075-KR-DH-M,SET075,2,Female,KURTA SET,M,Pink
7515,SET075-KR-DH-S,SET075,5,Female,KURTA SET,S,Pink
7516,SET075-KR-DH-XL,SET075,1,Female,KURTA SET,XL,Pink
7517,SET075-KR-DH-XS,SET075,2,Female,KURTA SET,XS,Pink
7518,SET075-KR-DH-XXL,SET075,0,Female,KURTA SET,XXL,Pink
7519,SET075-KR-DH-XXXL,SET075,1,Female,KURTA SET,XXXL,Pink
7520,SET078-KR-NP-L,SET078,0,Male,SET,L,Multicolor
7521,SET078-KR-NP-M,SET078,0,Male,SET,M,Multicolor
7522,SET078-KR-NP-S,SET078,3,Male,SET,S,Multicolor
7523,SET078-KR-NP-XS,SET078,1,Male,SET,XS,Multicolor
7524,SET078-KR-NP-XXXL,SET078,0,Male,SET,XXXL,Multicolor
7525,SET083-KR-PP-L,SET083,2,Female,KURTA SET,L,Navy Blue
7526,SET083-KR-PP-M,SET083,0,Female,KURTA SET,M,Navy Blue
7527,SET083-KR-PP-S,SET083,6,Female,KURTA SET,S,Navy Blue
7528,SET083-KR-PP-XL,SET083,1,Female,KURTA SET,XL,Navy Blue
7529,SET083-KR-PP-XS,SET083,36,Female,KURTA SET,XS,Navy Blue
7530,SET083-KR-PP-XXL,SET083,2,Female,KURTA SET,XXL,Navy Blue
7531,SET083-KR-PP-XXXL,SET083,0,Female,KURTA SET,XXXL,Navy Blue
7532,SET085-KR-PT-L,SET085,0,Female,KURTA SET,L,Sea Green
7533,SET085-KR-PT-M,SET085,0,Female,KURTA SET,M,Sea Green
7534,SET085-KR-PT-S,SET085,0,Female,KURTA SET,S,Sea Green
7535,SET085-KR-PT-XL,SET085,0,Female,KURTA SET,XL,Sea Green
7536,SET085-KR-PT-XS,SET085,2,Female,KURTA SET,XS,Sea Green
7537,SET085-KR-PT-XXL,SET085,0,Female,KURTA SET,XXL,Sea Green
7538,SET085-KR-PT-XXXL,SET085,0,Female,KURTA SET,XXXL,Sea Green
7539,SET087-KR-PP-L,SET087,3,Female,KURTA SET,L,Grey
7540,SET087-KR-PP-M,SET087,4,Female,KURTA SET,M,Grey
7541,SET087-KR-PP-S,SET087,30,Female,KURTA SET,S,Grey
7542,SET087-KR-PP-XL,SET087,2,Female,KURTA SET,XL,Grey
7543,SET087-KR-PP-XS,SET087,4,Female,KURTA SET,XS,Grey
7544,SET087-KR-PP-XXL,SET087,9,Female,KURTA SET,XXL,Grey
7545,SET087-KR-PP-XXXL,SET087,3,Female,KURTA SET,XXXL,Grey
7546,SET091-KR-NP-L,SET091,1,Male,SET,L,Beige
7547,SET091-KR-NP-M,SET091,1,Male,SET,M,Beige
7548,SET091-KR-NP-S,SET091,3,Male,SET,S,Beige
7549,SET091-KR-NP-XL,SET091,1,Male,SET,XL,Beige
7550,SET091-KR-NP-XS,SET091,5,Male,SET,XS,Beige
7551,SET091-KR-NP-XXL,SET091,1,Male,SET,XXL,Beige
7552,SET091-KR-NP-XXXL,SET091,0,Male,SET,XXXL,Beige
7553,SET094-KR-NP-L,SET094,9,Female,KURTA SET,L,Turquoise Green
7554,SET094-KR-NP-M,SET094,10,Female,KURTA SET,M,Turquoise Green
